"IT_DATETIME","DS_CODE","DS_NAME","DS_DESC","DS_LAT","DS_LON","DS_ALT","BGN.S","BGN.Q_S"
"20130101_240000_000000","256_N","Marken (nieuw)","Neerslagstation (8-8)","52.456667","5.119556","-.7","0","0"
"20130101_240000_000000","257_N","Hoogwoud","Neerslagstation (8-8)","52.725833","4.960833","-1","0","1"
"20130101_240000_000000","263_N","Assendelft","Neerslagstation (8-8)","52.472278","4.725472","-1.3","0","0"
"20130101_240000_000000","298_N","Steenwijksmoer","Neerslagstation (8-8)","52.677167","6.690944","11.84","0","4"
"20130101_240000_000000","317_N","Marknesse","Neerslagstation (8-8)","52.692306","5.857611","-1.7","0","0"
"20130101_240000_000000","323_N","Laaghalen","Neerslagstation (8-8)","52.9195","6.529194","15.64","0","0"
"20130101_240000_000000","326_N","Frederiksoord","Neerslagstation (8-8)","52.855167","6.173694","36","0","1"
"20130101_240000_000000","327_N","Dwingelo","Neerslagstation (8-8)","52.823056","6.410889","12","0","1"
"20130101_240000_000000","328_N","Heerde","Neerslagstation (8-8)","52.400153","6.034483","12","0","0"
"20130101_240000_000000","329_N","Wapenveld","Neerslagstation (8-8)","52.419778","6.081167","3.5","0","0"
"20130101_240000_000000","330_N","Zwolle","Neerslagstation (8-8)","52.529917","6.140639","1.9","0","0"
"20130101_240000_000000","331_N","Denekamp","Neerslagstation (8-8)","52.380056","7.032694","24.2","0","0"
"20130101_240000_000000","332_N","Hoogeveen","Neerslagstation (8-8)","52.712556","6.467528","11.31","0","0"
"20130101_240000_000000","333_N","Emmen","Neerslagstation (8-8)","52.783472","6.8745","19.19","0","0"
"20130101_240000_000000","335_N","IJsselmuiden","Neerslagstation (8-8)","52.572892","5.954075","-2.4","0","0"
"20130101_240000_000000","336_N","Oldebroek","Neerslagstation (8-8)","52.431167","5.916583","4.4","0","0"
"20130101_240000_000000","337_N","Schoonlo","Neerslagstation (8-8)","52.900778","6.703694","21.12","0","0"
"20130101_240000_000000","338_N","Giethoorn","Neerslagstation (8-8)","52.722056","6.064278","-.12","0","4"
"20130101_240000_000000","339_N","Rheezerveen","Neerslagstation (8-8)","52.562028","6.56075","9.11","0","0"
"20130101_240000_000000","340_N","Heino","Neerslagstation (8-8)","52.438861","6.260806","4","0","0"
"20130101_240000_000000","341_N","Zweelo","Neerslagstation (8-8)","52.786528","6.716111","17.45","0","0"
"20130101_240000_000000","342_N","Vilsteren","Neerslagstation (8-8)","52.512694","6.353639","5.2","0","0"
"20130101_240000_000000","343_N","Schoonebeek","Neerslagstation (8-8)","52.662639","6.854333","12","0","4"
"20130101_240000_000000","344_N","Tollebeek","Neerslagstation (8-8)","52.671444","5.628056","-1.94","0","0"
"20130101_240000_000000","345_N","Vroomshoop","Neerslagstation (8-8)","52.469583","6.569722","8.2","0","0"
"20130101_240000_000000","348_N","Emmeloord","Neerslagstation (8-8)","52.702306","5.766528","-3","0","0"
"20130101_240000_000000","349_N","Klazienaveen","Neerslagstation (8-8)","52.706778","7.003139","17.5","0","0"
"20130101_240000_000000","350_N","Elburg","Neerslagstation (8-8)","52.441417","5.825083",".2","0","0"
"20130101_240000_000000","352_N","Nagele","Neerslagstation (8-8)","52.623722","5.722278","-3.95","0","0"
"20130101_240000_000000","353_N","Blokzijl","Neerslagstation (8-8)","52.728611","5.955278",".6","0","1"
"20130101_240000_000000","354_N","Dedemsvaart","Neerslagstation (8-8)","52.604083","6.463806","6.78","0","0"
"20130101_240000_000000","356_N","Kuinre","Neerslagstation (8-8)","52.784917","5.841528","-.73","0","0"
"20130101_240000_000000","358_N","Rouveen","Neerslagstation (8-8)","52.613639","6.187083",".3","0","0"
"20130101_240000_000000","359_N","Lemmer gemaal Buma","Neerslagstation (8-8)","52.837722","5.713611",".45","0","0"
"20130101_240000_000000","361_N","Tubbergen","Neerslagstation (8-8)","52.400917","6.778639","22.6","0","0"
"20130101_240000_000000","362_N","Ruinerwold","Neerslagstation (8-8)","52.719361","6.24025","1.44","0","0"
"20130101_240000_000000","364_N","Dronten","Neerslagstation (8-8)","52.544583","5.854667","1.4","0","0"
"20130101_240000_000000","365_N","Swifterbant","Neerslagstation (8-8)","52.554722","5.642889","-4.3","0","0"
"20130101_240000_000000","366_N","Biddinghuizen","Neerslagstation (8-8)","52.440722","5.675167","-3.6","0","0"
"20130101_240000_000000","369_N","Lelystad Eendenweg","Neerslagstation (8-8)","52.451583","5.525861","-4.36","0","0"
"20130101_240000_000000","371_N","Zeewolde","Neerslagstation (8-8)","52.38975","5.366167","-4.87","0","0"
