"IT_DATETIME","DS_CODE","Q","DS_LON","DS_LAT","SAT","DIFF"
"2008-09-24","251_H",128.009259259259,152247.279100648,600531.498673077,49.4359751102193,-78.5732841490399
"2009-04-19","277_H",255.208333333333,208993.556003806,603123.356958995,193.91895124025,-61.2893820930832
"2009-08-08","257_H",239.467592592593,101759.646927494,502242.431580299,139.572954423825,-99.8946381687673
"2009-08-09","257_H",232.986111111111,101759.646927494,502242.431580299,147.313452434665,-85.6726586764457
"2009-08-09","277_H",205.324074074074,208993.556003806,603123.356958995,130.844298869717,-74.4797752043571
"2009-08-09","330_H",230.092592592593,68078.9378130265,445503.769950935,152.429955797364,-77.6626367952289
"2009-08-11","210_H",208.796296296296,89480.01953647,465113.018934339,58.8007774587922,-149.995518837504
"2009-08-11","235_H",191.782407407407,114241.929065351,549045.55380952,63.064352018352,-128.718055389055
"2009-08-11","240_H",184.953703703704,114260.677736725,481197.802257931,107.329117333773,-77.6245863699307
"2009-08-11","249_H",155.439814814815,127363.134926821,517331.718529087,55.953992684433,-99.4858221303818
"2009-08-11","251_H",178.240740740741,152247.279100648,600531.498673077,100.299453372645,-77.9412873680962
"2009-08-11","257_H",194.675925925926,101759.646927494,502242.431580299,48.0682019186638,-146.607724007262
"2009-08-11","260_H",154.62962962963,140783.296337002,456758.217135819,87.8093961058555,-66.8202335237741
"2009-08-11","267_H",174.074074074074,154739.350173842,545505.315291232,42.2221547742141,-131.85191929986
"2009-08-11","269_H",156.365740740741,164007.270525333,496615.361243678,51.3655959144773,-105.000144826263
"2009-08-11","270_H",144.560185185185,179342.357565474,581888.955837133,78.0208302371569,-66.5393549480282
"2009-08-11","273_H",171.412037037037,188816.779568466,523954.40147084,29.8958532716637,-141.516183765373
"2009-08-11","275_H",188.657407407407,188266.381759645,451935.147286289,37.704092562818,-150.953314844589
"2009-08-11","278_H",168.402777777778,214278.347576477,494429.572135124,87.5296947754631,-80.8730830023147
"2009-08-11","279_H",160.87962962963,235068.282538229,529718.217110106,59.7418193817139,-101.137810247916
"2009-08-11","280_H",140.509259259259,235163.930454656,571426.352092331,70.2417107482088,-70.2675485110505
"2009-08-11","283_H",174.652777777778,242041.704143524,454037.790405784,51.3650989532471,-123.287678824531
"2009-08-11","286_H",135.300925925926,272751.726353134,580083.325658519,74.3307291922969,-60.970196733629
"2009-08-11","290_H",148.148148148148,257622.560870593,477180.434158967,51.0236015514685,-97.1245465966797
"2009-08-11","310_H",169.907407407407,30461.9240748967,385117.837940359,50.2147463434193,-119.692661063988
"2009-08-11","319_H",155.208333333333,48398.2276413979,360597.580586119,48.801728343362,-106.406604989971
"2009-08-11","323_H",182.175925925926,51814.452727588,394869.822515975,62.0245307844444,-120.151395141482
"2009-08-11","330_H",204.62962962963,68078.9378130265,445503.769950935,59.7416919705848,-144.887937659045
"2009-08-11","344_H",184.490740740741,90374.9934217709,441765.314902848,52.6948076598655,-131.795933080875
"2009-08-11","348_H",176.388888888889,123295.168771252,442405.899488456,67.7578542090036,-108.631034679885
"2009-08-11","350_H",156.944444444444,123664.975782146,397437.07360507,69.667272567749,-87.2771718766954
"2009-08-11","356_H",171.990740740741,138333.907712423,429940.26083475,84.4927397011142,-87.4980010396266
"2009-08-11","370_H",144.907407407407,154287.006168567,384515.132036297,53.4208623813354,-91.486545026072
"2009-08-11","375_H",153.009259259259,177105.274510154,407772.030659284,46.7881482615175,-106.221110997742
"2009-08-11","377_H",139.699074074074,181233.068667045,356430.069475497,43.653375090157,-96.045698983917
"2009-08-11","391_H",127.199074074074,211170.574363666,390111.375928428,52.6038900210379,-74.5951840530362
"2010-01-26","249_H",82.0601851851852,127363.134926821,517331.718529087,15.4690505498508,-66.5911346353344
"2010-01-26","270_H",78.2407407407407,179342.357565474,581888.955837133,16.8708147331867,-61.3699260075541
"2010-01-31","283_H",85.3009259259259,242041.704143524,454037.790405784,21.5428521633148,-63.7580737626111
"2010-03-06","286_H",144.212962962963,272751.726353134,580083.325658519,79.9790174097017,-64.2339455532612
"2010-05-26","277_H",245.023148148148,208993.556003806,603123.356958995,168.913762376842,-76.1093857713058
"2010-07-06","277_H",327.083333333333,208993.556003806,603123.356958995,259.96607165391,-67.1172616794235
"2010-07-17","310_H",268.287037037037,30461.9240748967,385117.837940359,205.774542616619,-62.5124944204182
"2010-08-19","210_H",229.861111111111,89480.01953647,465113.018934339,156.743984174925,-73.1171269361866
"2010-08-19","235_H",234.375,114241.929065351,549045.55380952,136.742865970225,-97.6321340297754
"2010-08-19","240_H",209.722222222222,114260.677736725,481197.802257931,129.741246790856,-79.9809754313659
"2010-08-19","249_H",234.606481481481,127363.134926821,517331.718529087,135.51378415416,-99.0926973273214
"2010-08-19","251_H",261.458333333333,152247.279100648,600531.498673077,179.179542269681,-82.2787910636521
"2010-08-19","257_H",240.740740740741,101759.646927494,502242.431580299,138.70962832115,-102.03111241959
"2010-08-19","267_H",241.203703703704,154739.350173842,545505.315291232,133.272295519601,-107.931408184102
"2010-08-19","270_H",238.194444444444,179342.357565474,581888.955837133,176.892576673275,-61.3018677711696
"2010-08-19","273_H",243.75,188816.779568466,523954.40147084,163.4958724611,-80.2541275388996
